issue_id,os_version,crash_time,device_id,crash_reason,crash_exception
008fc906216dd1b2d47b43fac70f3e21,6,1599567004,49261287616,Failed to allocate a 20 byte allocation with 56 free bytes and 56B until OOM; failed due to fragmentation (required continguous free 4096 bytes for a new buffer where largest contiguous free 0 bytes),java.lang.OutOfMemoryError
00987f8cbcd548fad3c73002e440ef29,5,1607918915,11954085238,Failed to allocate a 12 byte allocation with 0 free bytes and 3GB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,5,1610923957,34973551942,Failed to allocate a 896012 byte allocation with 560473 free bytes and 547KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,5,1609043132,35780604345,Failed to allocate a 1920012 byte allocation with 1496806 free bytes and 1461KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,5,1610118010,40827652559,Failed to allocate a 1920012 byte allocation with 1306247 free bytes and 1275KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,6,1609849153,68464041738,Failed to allocate a 1920012 byte allocation with 548616 free bytes and 535KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,6,1612655476,42557424963,Failed to allocate a 1920012 byte allocation with 1496464 free bytes and 1461KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,6,1611847069,67011341241,Failed to allocate a 1920012 byte allocation with 1373280 free bytes and 1341KB until OOM,java.lang.OutOfMemoryError
00a5eb1848bf189bd91182bd3853070f,7,1613389465,3.43E+14,Failed to allocate a 1920012 byte allocation with 815296 free bytes and 796KB until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,5,1605640484,35513101252,Failed to allocate a 16 byte allocation with 8 free bytes and 8B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,5,1604923435,34643006158,Failed to allocate a 16 byte allocation with 4 free bytes and 4B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,5,1609797202,67808194891,Failed to allocate a 16 byte allocation with 2 free bytes and 2B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,5,1607466210,35941989235,Failed to allocate a 12 byte allocation with 6 free bytes and 6B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,5,1609878484,57808083053,Failed to allocate a 12 byte allocation with 4 free bytes and 4B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,6,1608522480,62750216141,Failed to allocate a 16 byte allocation with 2944 free bytes and 2944B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,6,1606722533,35419710220,Failed to allocate a 12 byte allocation with 1696 free bytes and 1696B until OOM,java.lang.OutOfMemoryError
00bb42340d114b424feeef85de02bb5c,7,1602794634,54335083981,Failed to allocate a 16 byte allocation with 8 free bytes and 8B until OOM,java.lang.OutOfMemoryError
00bc83c78621067f82ca541df297a5f5,6,1599738230,48974112103,Failed to allocate a 60 byte allocation with 0 free bytes and 3GB until OOM,java.lang.OutOfMemoryError
00be0c4925435a03d44952043a8bb3b6,5,1603979419,25376127944,Failed to allocate a 1518 byte allocation with 16777216 free bytes and 134MB until OOM; failed due to fragmentation (required continguous free 131072 bytes for a new buffer where largest contiguous free 36864 bytes),java.lang.OutOfMemoryError
00c075e085b68581509809f4d62e0292,7,1608456180,47286206489,Failed to allocate a 44 byte allocation with 1808 free bytes and 1808B until OOM,java.lang.OutOfMemoryError
